question_id,session,tier,intent_expected,intent_actual,routing_pattern,agents_dispatched,routed_agent,orchestrator_used,ttfb_ms,first_progress_ms,total_ms,classification_latency_ms,used_llm_layer,execution_time_ms,intent_confidence,response_confidence,response_chars,session_id,request_id,error,answer_correct,suggestion_pills_relevant,notes
1.1,n1,T2,kpi_query,,,kpi_calculate_tool,,False,5702.8,432.6,9202.8,,,,,,764,fceedd2f-a5ec-41a7-981e-21df3ebac2a3,perf-agui-1.1,,,,
1.2,n1,T2,kpi_query,,,kpi_calculate_tool,,False,5789.5,505.9,11928.7,,,,,,1282,fceedd2f-a5ec-41a7-981e-21df3ebac2a3,perf-agui-1.2,,,,
1.3,n1,T2,kpi_query,,,kpi_calculate_tool,,False,5927.0,401.9,11659.0,,,,,,1186,fceedd2f-a5ec-41a7-981e-21df3ebac2a3,perf-agui-1.3,,,,
1.4,n1,T3,causal_analysis,,,kpi_calculate_tool,,False,12711.4,381.2,24567.9,,,,,,2748,fceedd2f-a5ec-41a7-981e-21df3ebac2a3,perf-agui-1.4,,,,
1.5,n1,T3,causal_analysis,,,,,False,4119.1,436.7,10052.5,,,,,,1478,fceedd2f-a5ec-41a7-981e-21df3ebac2a3,perf-agui-1.5,,,,
1.6,n1,T5,causal_analysis,,,predict_hcp_segment_likelihood_tool,,False,7584.0,367.4,12505.9,,,,,,976,fceedd2f-a5ec-41a7-981e-21df3ebac2a3,perf-agui-1.6,,,,
1.7,n1,T5,recommendation,,,e2i_data_query_tool,,False,15783.3,301.2,26104.1,,,,,,2866,fceedd2f-a5ec-41a7-981e-21df3ebac2a3,perf-agui-1.7,,,,
2.1,n2,T3,search,,,orchestrator_tool,,True,12517.2,312.5,19038.2,,,,,,1601,94b90b21-92a8-428e-93bc-c3a600022d83,perf-agui-2.1,,,,
2.2,n2,T2,kpi_query,,,kpi_calculate_tool,,False,8287.7,355.7,11996.0,,,,,,750,94b90b21-92a8-428e-93bc-c3a600022d83,perf-agui-2.2,,,,
2.3,n2,T2,kpi_query,,,kpi_calculate_tool,,False,7015.5,467.8,10914.5,,,,,,609,94b90b21-92a8-428e-93bc-c3a600022d83,perf-agui-2.3,,,,
2.4,n2,T3,causal_analysis,,,kpi_calculate_tool,,False,28352.2,352.8,41641.2,,,,,,3204,94b90b21-92a8-428e-93bc-c3a600022d83,perf-agui-2.4,,,,
2.5,n2,T3,recommendation,,,predict_hcp_segment_likelihood_tool,,False,8746.9,556.8,16772.9,,,,,,1909,94b90b21-92a8-428e-93bc-c3a600022d83,perf-agui-2.5,,,,
2.6,n2,T3,recommendation,,,orchestrator_tool,,True,7745.7,364.9,15776.6,,,,,,1851,94b90b21-92a8-428e-93bc-c3a600022d83,perf-agui-2.6,,,,
2.7,n2,T2,kpi_query,,,kpi_calculate_tool,,False,6331.0,404.0,10416.9,,,,,,832,94b90b21-92a8-428e-93bc-c3a600022d83,perf-agui-2.7,,,,
3.1,n3,T2,kpi_query,,,clinical_context_tool,,False,16931.5,336.1,19582.5,,,,,,953,7b24bb9f-ddcc-4282-8eba-bb5a44ec1857,perf-agui-3.1,,,,
3.2,n3,T2,kpi_query,,,kpi_calculate_tool,,False,5587.5,406.3,8913.6,,,,,,626,7b24bb9f-ddcc-4282-8eba-bb5a44ec1857,perf-agui-3.2,,,,
3.3,n3,T3,prediction,,,predict_hcp_segment_likelihood_tool,,False,5863.2,374.4,10943.7,,,,,,976,7b24bb9f-ddcc-4282-8eba-bb5a44ec1857,perf-agui-3.3,,,,
3.4,n3,T4,recommendation,,,orchestrator_tool,,True,154854.8,352.0,165113.7,,,,,,2525,7b24bb9f-ddcc-4282-8eba-bb5a44ec1857,perf-agui-3.4,,,,
3.5,n3,T5,recommendation,,,,,False,2422.0,342.0,8082.5,,,,,,1069,7b24bb9f-ddcc-4282-8eba-bb5a44ec1857,perf-agui-3.5,,,,
3.6,n3,T3,recommendation,,,orchestrator_tool,,True,157925.6,464.2,167580.2,,,,,,2761,7b24bb9f-ddcc-4282-8eba-bb5a44ec1857,perf-agui-3.6,,,,
4.1,n4,T3,search,,,orchestrator_tool,,True,9283.3,368.3,15436.0,,,,,,1379,def05ea0-1b31-411c-8b90-49b1a474ea2b,perf-agui-4.1,,,,
4.2,n4,T3,search,,,,,False,8572.5,414.2,12631.7,,,,,,933,def05ea0-1b31-411c-8b90-49b1a474ea2b,perf-agui-4.2,,,,
4.3,n4,T4,multi_faceted,,,,,False,4100.2,450.0,7039.5,,,,,,792,def05ea0-1b31-411c-8b90-49b1a474ea2b,perf-agui-4.3,,,,
4.4,n4,T3,causal_analysis,,,causal_analysis_tool,,False,21810.1,394.8,29102.5,,,,,,1731,def05ea0-1b31-411c-8b90-49b1a474ea2b,perf-agui-4.4,,,,
4.5,n4,T2,kpi_query,,,kpi_calculate_tool,,False,6882.8,378.1,11425.9,,,,,,914,def05ea0-1b31-411c-8b90-49b1a474ea2b,perf-agui-4.5,,,,
4.6,n4,T2,kpi_query,,,kpi_calculate_tool,,False,7616.9,406.7,11279.4,,,,,,919,def05ea0-1b31-411c-8b90-49b1a474ea2b,perf-agui-4.6,,,,
4.7,n4,T3,causal_analysis,,,causal_analysis_tool,,False,6915.0,439.5,16612.7,,,,,,2208,def05ea0-1b31-411c-8b90-49b1a474ea2b,perf-agui-4.7,,,,
5.1,n5,T2-T3,agent_status,,,e2i_data_query_tool,,False,6924.5,440.5,15757.3,,,,,,1809,795da4a7-e429-45ec-9823-ca7abe7d7f01,perf-agui-5.1,,,,
5.2,n5,T2,agent_status,,,,,False,2213.0,460.2,5548.2,,,,,,765,795da4a7-e429-45ec-9823-ca7abe7d7f01,perf-agui-5.2,,,,
5.3,n5,T2,kpi_query,,,e2i_data_query_tool,,False,8705.3,469.4,11646.4,,,,,,521,795da4a7-e429-45ec-9823-ca7abe7d7f01,perf-agui-5.3,,,,
5.4,n5,T3,kpi_query,,,e2i_data_query_tool,,False,6108.2,322.5,9875.7,,,,,,724,795da4a7-e429-45ec-9823-ca7abe7d7f01,perf-agui-5.4,,,,
5.5,n5,T3,causal_analysis,,,,,False,3729.3,488.5,7662.6,,,,,,801,795da4a7-e429-45ec-9823-ca7abe7d7f01,perf-agui-5.5,,,,
5.6,n5,T2,general,,,document_retrieval_tool,,False,9226.9,373.3,22358.9,,,,,,3158,795da4a7-e429-45ec-9823-ca7abe7d7f01,perf-agui-5.6,,,,
5.7,n5,T3,causal_analysis,,,causal_analysis_tool,,False,8896.7,405.1,15771.9,,,,,,1617,795da4a7-e429-45ec-9823-ca7abe7d7f01,perf-agui-5.7,,,,
6.1,n6,T4,multi_faceted,,,kpi_calculate_tool,,False,17797.8,361.1,28748.0,,,,,,3085,23fa8f9e-177c-4bec-8687-4b11c6d51e9d,perf-agui-6.1,,,,
6.2,n6,T4,multi_faceted,,,kpi_calculate_tool,,False,9791.8,409.0,20071.0,,,,,,2668,23fa8f9e-177c-4bec-8687-4b11c6d51e9d,perf-agui-6.2,,,,
6.3,n6,T4,multi_faceted,,,,,False,3490.2,405.5,7273.4,,,,,,858,23fa8f9e-177c-4bec-8687-4b11c6d51e9d,perf-agui-6.3,,,,
6.4,n6,T4,multi_faceted,,,kpi_calculate_tool,,False,16795.1,461.3,31384.9,,,,,,3263,23fa8f9e-177c-4bec-8687-4b11c6d51e9d,perf-agui-6.4,,,,
6.5,n6,T4,multi_faceted,,,causal_analysis_tool,,False,2417.0,460.9,31791.5,,,,,,3482,23fa8f9e-177c-4bec-8687-4b11c6d51e9d,perf-agui-6.5,,,,
A.1,a1,T6,greeting,,,,,False,2262.5,388.3,5087.3,,,,,,474,7d5008af-a211-49ca-ada3-4d1042d09118,perf-agui-A.1,,,,
A.2a,a2,T6,help,,,,,False,1877.2,320.5,11456.5,,,,,,2250,766743ae-ae35-44e0-ad8a-803d6a62ff17,perf-agui-A.2a,,,,
A.2b,a2,T6,help,,,e2i_data_query_tool,,False,6243.2,464.9,14600.5,,,,,,1787,766743ae-ae35-44e0-ad8a-803d6a62ff17,perf-agui-A.2b,,,,
A.3,a3,T6,kpi_query,,,kpi_calculate_tool,,False,6087.3,371.0,9234.1,,,,,,630,a82cb0cc-ae84-41b5-a477-7791dbfe6f5f,perf-agui-A.3,,,,
A.4,a4,T6,kpi_query,,,kpi_calculate_tool,,False,5787.6,423.3,8344.0,,,,,,467,53636872-8f00-4850-90da-a92be4202082,perf-agui-A.4,,,,
A.5,a5,T6,clarification,,,,,False,1893.2,424.9,4380.0,,,,,,425,46dbe965-11df-47b6-80d9-1037581f300a,perf-agui-A.5,,,,
A.6,a6,T6,help,,,,,False,4856.3,419.6,8527.8,,,,,,867,d1fff6a8-15bb-4ced-be12-703f956e91d5,perf-agui-A.6,,,,
A.8-cold,a8,T2,kpi_query,,,kpi_calculate_tool,,False,5553.6,421.0,8780.0,,,,,,624,52ac11e8-d7e0-4309-9921-5c5f1e7d67c5,perf-agui-A.8-cold,,,,
A.8-warm,a8,T5,kpi_query,,,kpi_calculate_tool,,False,5735.3,411.0,9062.5,,,,,,597,52ac11e8-d7e0-4309-9921-5c5f1e7d67c5,perf-agui-A.8-warm,,,,
A.9-seed,a9,T3,causal_analysis,,,kpi_calculate_tool,,False,9918.9,375.0,22317.9,,,,,,2828,e2f7221a-ebcf-404b-aafc-1ab295fd74f1,perf-agui-A.9-seed,,,,
A.9-followup,a9,T5,causal_analysis,,,clinical_context_tool,,False,25068.3,415.3,39408.2,,,,,,3206,e2f7221a-ebcf-404b-aafc-1ab295fd74f1,perf-agui-A.9-followup,,,,
A.10,a10,T6,multi_faceted,,,kpi_calculate_tool,,False,30970.7,396.2,48029.3,,,,,,4265,6b477f99-e147-4169-b817-7d77c980cd76,perf-agui-A.10,,,,
